ticker,date,primary_exchange_code,variable_name,value,company_name
AAPL,2024-01-15,NAS,Open,182.50,Apple Inc.
AAPL,2024-01-15,NAS,Close,185.10,Apple Inc.
AAPL,2024-01-15,NAS,All-Day High,186.25,Apple Inc.
AAPL,2024-01-15,NAS,All-Day Low,181.80,Apple Inc.
AAPL,2024-01-15,NAS,Pre-Market Open,182.00,Apple Inc.
AAPL,2024-01-15,NAS,Post-Market Close,185.45,Apple Inc.
AAPL,2024-01-15,NAS,Nasdaq Volume,52840000,Apple Inc.
MSFT,2024-01-15,NAS,Open,402.30,Microsoft Corporation
MSFT,2024-01-15,NAS,Close,408.50,Microsoft Corporation
MSFT,2024-01-15,NAS,All-Day High,410.20,Microsoft Corporation
MSFT,2024-01-15,NAS,All-Day Low,401.85,Microsoft Corporation
MSFT,2024-01-15,NAS,Pre-Market Open,401.50,Microsoft Corporation
MSFT,2024-01-15,NAS,Post-Market Close,409.10,Microsoft Corporation
MSFT,2024-01-15,NAS,Nasdaq Volume,24150000,Microsoft Corporation
GOOGL,2024-01-15,NAS,Open,142.80,Alphabet Inc.
GOOGL,2024-01-15,NAS,Close,144.95,Alphabet Inc.
GOOGL,2024-01-15,NAS,All-Day High,145.50,Alphabet Inc.
GOOGL,2024-01-15,NAS,All-Day Low,142.10,Alphabet Inc.
GOOGL,2024-01-15,NAS,Pre-Market Open,142.50,Alphabet Inc.
GOOGL,2024-01-15,NAS,Post-Market Close,145.20,Alphabet Inc.
GOOGL,2024-01-15,NAS,Nasdaq Volume,28450000,Alphabet Inc.
AMZN,2024-01-15,NAS,Open,155.20,Amazon.com Inc.
AMZN,2024-01-15,NAS,Close,157.80,Amazon.com Inc.
AMZN,2024-01-15,NAS,All-Day High,158.45,Amazon.com Inc.
AMZN,2024-01-15,NAS,All-Day Low,154.60,Amazon.com Inc.
AMZN,2024-01-15,NAS,Pre-Market Open,154.95,Amazon.com Inc.
AMZN,2024-01-15,NAS,Post-Market Close,158.15,Amazon.com Inc.
AMZN,2024-01-15,NAS,Nasdaq Volume,31200000,Amazon.com Inc.
TSLA,2024-01-15,NAS,Open,218.50,Tesla Inc.
TSLA,2024-01-15,NAS,Close,220.90,Tesla Inc.
TSLA,2024-01-15,NAS,All-Day High,222.75,Tesla Inc.
TSLA,2024-01-15,NAS,All-Day Low,217.20,Tesla Inc.
TSLA,2024-01-15,NAS,Pre-Market Open,217.80,Tesla Inc.
TSLA,2024-01-15,NAS,Post-Market Close,221.35,Tesla Inc.
TSLA,2024-01-15,NAS,Nasdaq Volume,115600000,Tesla Inc.
META,2024-01-15,NAS,Open,358.20,Meta Platforms Inc.
META,2024-01-15,NAS,Close,362.50,Meta Platforms Inc.
META,2024-01-15,NAS,All-Day High,364.80,Meta Platforms Inc.
META,2024-01-15,NAS,All-Day Low,357.10,Meta Platforms Inc.
META,2024-01-15,NAS,Pre-Market Open,357.50,Meta Platforms Inc.
META,2024-01-15,NAS,Post-Market Close,363.20,Meta Platforms Inc.
META,2024-01-15,NAS,Nasdaq Volume,18750000,Meta Platforms Inc.
NVDA,2024-01-15,NAS,Open,545.80,NVIDIA Corporation
NVDA,2024-01-15,NAS,Close,560.20,NVIDIA Corporation
NVDA,2024-01-15,NAS,All-Day High,562.95,NVIDIA Corporation
NVDA,2024-01-15,NAS,All-Day Low,543.25,NVIDIA Corporation
NVDA,2024-01-15,NAS,Pre-Market Open,544.00,NVIDIA Corporation
NVDA,2024-01-15,NAS,Post-Market Close,561.80,NVIDIA Corporation
NVDA,2024-01-15,NAS,Nasdaq Volume,42350000,NVIDIA Corporation
AAPL,2024-01-16,NAS,Open,185.20,Apple Inc.
AAPL,2024-01-16,NAS,Close,183.75,Apple Inc.
AAPL,2024-01-16,NAS,All-Day High,186.10,Apple Inc.
AAPL,2024-01-16,NAS,All-Day Low,183.10,Apple Inc.
AAPL,2024-01-16,NAS,Pre-Market Open,185.45,Apple Inc.
AAPL,2024-01-16,NAS,Post-Market Close,184.20,Apple Inc.
AAPL,2024-01-16,NAS,Nasdaq Volume,48920000,Apple Inc.
MSFT,2024-01-16,NAS,Open,408.90,Microsoft Corporation
MSFT,2024-01-16,NAS,Close,405.20,Microsoft Corporation
MSFT,2024-01-16,NAS,All-Day High,410.50,Microsoft Corporation
MSFT,2024-01-16,NAS,All-Day Low,404.85,Microsoft Corporation
MSFT,2024-01-16,NAS,Pre-Market Open,409.10,Microsoft Corporation
MSFT,2024-01-16,NAS,Post-Market Close,405.85,Microsoft Corporation
MSFT,2024-01-16,NAS,Nasdaq Volume,22680000,Microsoft Corporation
GOOGL,2024-01-16,NAS,Open,145.10,Alphabet Inc.
GOOGL,2024-01-16,NAS,Close,143.20,Alphabet Inc.
GOOGL,2024-01-16,NAS,All-Day High,146.25,Alphabet Inc.
GOOGL,2024-01-16,NAS,All-Day Low,142.90,Alphabet Inc.
GOOGL,2024-01-16,NAS,Pre-Market Open,145.20,Alphabet Inc.
GOOGL,2024-01-16,NAS,Post-Market Close,143.65,Alphabet Inc.
GOOGL,2024-01-16,NAS,Nasdaq Volume,25780000,Alphabet Inc.
AMZN,2024-01-16,NAS,Open,157.95,Amazon.com Inc.
AMZN,2024-01-16,NAS,Close,159.40,Amazon.com Inc.
AMZN,2024-01-16,NAS,All-Day High,160.20,Amazon.com Inc.
AMZN,2024-01-16,NAS,All-Day Low,157.35,Amazon.com Inc.
AMZN,2024-01-16,NAS,Pre-Market Open,158.15,Amazon.com Inc.
AMZN,2024-01-16,NAS,Post-Market Close,159.85,Amazon.com Inc.
AMZN,2024-01-16,NAS,Nasdaq Volume,29850000,Amazon.com Inc.
TSLA,2024-01-16,NAS,Open,221.20,Tesla Inc.
TSLA,2024-01-16,NAS,Close,219.15,Tesla Inc.
TSLA,2024-01-16,NAS,All-Day High,223.50,Tesla Inc.
TSLA,2024-01-16,NAS,All-Day Low,218.60,Tesla Inc.
TSLA,2024-01-16,NAS,Pre-Market Open,221.35,Tesla Inc.
TSLA,2024-01-16,NAS,Post-Market Close,219.80,Tesla Inc.
TSLA,2024-01-16,NAS,Nasdaq Volume,98420000,Tesla Inc.
META,2024-01-16,NAS,Open,362.80,Meta Platforms Inc.
META,2024-01-16,NAS,Close,365.90,Meta Platforms Inc.
META,2024-01-16,NAS,All-Day High,367.40,Meta Platforms Inc.
META,2024-01-16,NAS,All-Day Low,361.50,Meta Platforms Inc.
META,2024-01-16,NAS,Pre-Market Open,363.20,Meta Platforms Inc.
META,2024-01-16,NAS,Post-Market Close,366.35,Meta Platforms Inc.
META,2024-01-16,NAS,Nasdaq Volume,16890000,Meta Platforms Inc.
NVDA,2024-01-16,NAS,Open,561.50,NVIDIA Corporation
NVDA,2024-01-16,NAS,Close,575.80,NVIDIA Corporation
NVDA,2024-01-16,NAS,All-Day High,578.20,NVIDIA Corporation
NVDA,2024-01-16,NAS,All-Day Low,560.10,NVIDIA Corporation
NVDA,2024-01-16,NAS,Pre-Market Open,561.80,NVIDIA Corporation
NVDA,2024-01-16,NAS,Post-Market Close,576.90,NVIDIA Corporation
NVDA,2024-01-16,NAS,Nasdaq Volume,39670000,NVIDIA Corporation
SNOW,2024-01-15,NYS,Open,202.30,Snowflake Inc.
SNOW,2024-01-15,NYS,Close,205.60,Snowflake Inc.
SNOW,2024-01-15,NYS,All-Day High,207.85,Snowflake Inc.
SNOW,2024-01-15,NYS,All-Day Low,201.50,Snowflake Inc.
SNOW,2024-01-15,NYS,Pre-Market Open,201.80,Snowflake Inc.
SNOW,2024-01-15,NYS,Post-Market Close,206.20,Snowflake Inc.
SNOW,2024-01-15,NYS,Volume,8450000,Snowflake Inc.
SNOW,2024-01-16,NYS,Open,206.00,Snowflake Inc.
SNOW,2024-01-16,NYS,Close,203.75,Snowflake Inc.
SNOW,2024-01-16,NYS,All-Day High,208.40,Snowflake Inc.
SNOW,2024-01-16,NYS,All-Day Low,203.20,Snowflake Inc.
SNOW,2024-01-16,NYS,Pre-Market Open,206.20,Snowflake Inc.
SNOW,2024-01-16,NYS,Post-Market Close,204.30,Snowflake Inc.
SNOW,2024-01-16,NYS,Volume,7820000,Snowflake Inc.